idx,name,title,type,category,pub_status
1,501MLM,MLM501: Cochrane Multilevel Meta-Analysis Effects Table from 501 Reviews,methods  |  ESTIMAND: SMD,methods-paper,unpublished
2,501MLM_Submission,MLM501 Software Article: Building Large-Scale Meta-Analytic Datasets from Cochrane Reviews,methods  |  ESTIMAND: OR,methods-paper,unpublished
3,AdaptSim,AdaptSim: A Browser-Based Simulator for Adaptive Group-Sequential Trial Design Matching rpact to Four Decimal Places,methods  |  ESTIMAND: Boundary computation accuracy vs rpact (decimal places of agreement),methods-paper,unpublished
4,advanced-nma-pooling,Advanced NMA Pooling Toolkit with Bias Adjustment and Survival Extensions,methods  |  ESTIMAND: Bias-adjusted treatment effect (log-odds),methods-paper,unpublished
5,AfricaRCT,AfricaRCT Observatory: Causal Transportability Index for African HTA Sovereignty,methods  |  ESTIMAND: Causal Transportability Index (CTI),methods-paper,unpublished
6,AlMizan,Al-Mizan: An Evidence Equipoise Monitor for Detecting When the Balance of Evidence Has Tipped,methods  |  ESTIMAND: Cumulative Z-statistic crossing Trial Sequential Analysis boundary,methods-paper,unpublished
7,Asa,Asa: A Seven-Method Forensic Data Integrity Screener for Clinical Trial Datasets,methods  |  ESTIMAND: Composite forensic integrity score (0-100),methods-paper,unpublished
9,AutoGRADE,AutoGRADE: Browser-Based Automated GRADE Certainty Assessment,methods  |  ESTIMAND: Risk ratio,methods-paper,unpublished
10,BayesianMA,BayesianMA: Browser-Based Bayesian Random-Effects Meta-Analysis with Prior Sensitivity Analysis,methods  |  ESTIMAND: Posterior mean and 95% credible interval,methods-paper,unpublished
12,BiasForensics,The Bias Fingerprint: Eight Methods Disagree in One of Seven Cochrane Meta-Analyses,methods  |  ESTIMAND: Discordance rate,methods-paper,unpublished
13,Burhan,TruthCert: A Fail-Closed Certification Protocol for LLM Outputs in Evidence Synthesis,methods  |  ESTIMAND: AUC,methods-paper,unpublished
14,CardioOracle,CardioOracle: Predicting Cardiovascular Trial Outcomes Using Bayesian Historical Borrowing and Design Feature Analysis (AUC 0.787),methods  |  ESTIMAND: AUC for trial outcome prediction,methods-paper,unpublished
15,CardioTrialAudit,"Structural Flaw Prevalence in 52,765 Cardiology Trials: An Automated Registry Audit",methods  |  ESTIMAND: Structural flaw prevalence,methods-paper,unpublished
17,CausalSynth,CausalSynth: Browser-Based Causal Evidence Triangulation Engine,methods  |  ESTIMAND: Causal Evidence Score,methods-paper,unpublished
18,chat2,CBAMM-Chat2: Automated Meta-Overfitting Detection via Cross-Validated Diagnostics,methods  |  ESTIMAND: Cross-validated R-squared gap (overfitting risk),methods-paper,unpublished
19,chatpaper,MA4 vs HKSJ: Complementarity of Analytic Stability and Small-Sample Robustness Metrics,methods  |  ESTIMAND: OR for HKSJ-induced conclusion change,methods-paper,unpublished
20,claude2,Weighted vs Unweighted CV in Meta-Regression: Reproducibility Capsule,methods  |  ESTIMAND: documentation proportion,methods-paper,unpublished
21,clauderepo,clauderepo: Reproducibility Capsule for an Advanced Meta-Analysis Compendium,methods  |  ESTIMAND: documentation proportion,methods-paper,unpublished
23,clinical-ma,SGLT2 Inhibitors and Heart Failure,pairwise  |  ESTIMAND: Hazard ratio for heart failure hospitalisation or cardiovascular death,clinical-meta-analysis,unpublished
25,ComponentNMA,Component NMA: A Browser-Based Tool for Additive Component Network Meta-Analysis,methods  |  ESTIMAND: Component effect estimates (log-OR/SMD),methods-paper,unpublished
26,ConformalMA,Conformal Prediction Intervals for Meta-Analysis: Distribution-Free Coverage Across 307 Cochrane Reviews,methods  |  ESTIMAND: Prediction interval coverage probability,methods-paper,unpublished
27,CRES,CRES: Browser-Based Cardiorenal Evidence Synthesis with Integrated Meta-Analysis and Health-Economic Modelling,methods  |  ESTIMAND: Hazard ratio,methods-paper,unpublished
38,ctgov-rule-era-reporting-gap,CT.gov Rule-Era Reporting Gap,methods  |  ESTIMAND: 2-year no-results rate across completion eras anchored to major U.S. reporting rules,methods-paper,unpublished
39,ctgov-search-strategies,CT.gov Search Strategy Tool: Systematic Review Search Validation with 99 Percent API Recall,methods  |  ESTIMAND: API recall,methods-paper,unpublished
43,cv-rct-analysis,CV-RCT Analysis: Cardiovascular Trial Landscape Dashboard Integrating Registry and Publication Data,methods  |  ESTIMAND: Publication rate,methods-paper,unpublished
44,Dataextractor,RCTExtractor: AI-Powered Clinical Trial Data Extraction with 100% Accuracy,methods  |  ESTIMAND: HR,methods-paper,unpublished
45,dosehtml,Dose Response Pro: Browser-Based Dose-Response Meta-Analysis Matching R Accuracy,methods  |  ESTIMAND: Dose-response trend coefficient,methods-paper,unpublished
46,DPMA,Dirichlet Process Meta-Analysis,methods  |  ESTIMAND: summary effect,methods-paper,unpublished
47,DTA70,DTA70: An R Package of 76 Diagnostic Test Accuracy Datasets for Methods Research,methods  |  ESTIMAND: Sensitivity,methods-paper,unpublished
48,DTA_Pro_Review,DTA Meta-Analysis Pro: A Browser-Based Tool for Diagnostic Test Accuracy Evidence Synthesis,methods  |  ESTIMAND: Pooled sensitivity and specificity,methods-paper,unpublished
49,everything-claude-code,Everything Claude Code: Modular AI-Assisted Evidence Synthesis Plugin Framework,methods  |  ESTIMAND: Documentation proportion across 101 projects,methods-paper,unpublished
50,evidence-board,Evidence Board: A Browser-Based Structured Note System for Systematic Review Screening,methods  |  ESTIMAND: Proportion of high-confidence notes,methods-paper,unpublished
51,evidence-inference,Evidence Inference: Machine Learning Extraction of Treatment Effects from Clinical Trial Reports,methods  |  ESTIMAND: Classification accuracy,methods-paper,unpublished
52,EvidenceHalfLife,The Evidence Half-Life: 53.4% of Meta-Analyses Never Reach Analytical Stability,methods  |  ESTIMAND: Never-stabilized rate,methods-paper,unpublished
53,EvidenceQuality,The Cochrane Quality Concordance: Six Orthogonal Dimensions of Evidence Reliability,methods  |  ESTIMAND: Mean absolute pairwise correlation,methods-paper,unpublished
54,EvidenceTribunal,The Evidence Tribunal: Adversarial Specification Search Across 403 Cochrane Meta-Analyses,methods  |  ESTIMAND: Adversarial verdict (Unanimous/Split),methods-paper,unpublished
55,Fatiha-course-github-v2,FATIHA: A Multilingual Evidence Synthesis Course Platform with 26 Interactive Modules,methods  |  ESTIMAND: Mean difference,methods-paper,unpublished
56,FATIHA_Project,SYNTHESIS: A 7-Layer Verification Framework for Detecting Fragile Meta-Analyses,methods  |  ESTIMAND: Coverage probability,methods-paper,unpublished
57,Finrenone,Browser-Based Finerenone Meta-Analysis Validated Against R metafor,pairwise  |  ESTIMAND: HR,clinical-meta-analysis,unpublished
58,focus-studio,Focus Studio: A Browser-Based Pomodoro Timer with Task Management and Session Logging,methods  |  ESTIMAND: Median session length,methods-paper,unpublished
59,fragility-atlas,Fragility of Cochrane Cardiovascular Meta-Analyses,methods  |  ESTIMAND: Fragility index,methods-paper,unpublished
60,FragilityAtlas,The Fragility Atlas: Multiverse Analysis of 473 Cochrane Meta-Analyses Reveals 56% Are Sensitive to Analyst Choices,methods  |  ESTIMAND: Robustness score (percent agreement across specifications),methods-paper,unpublished
61,FragilityIndex,Fragility Index Calculator: Browser-Based Statistical Fragility for RCTs,methods  |  ESTIMAND: Fragility Index (FI),methods-paper,unpublished
62,GRMA_paper,Grey Relational Meta-Analysis: A Robust Pooling Method with Redescending Effect Guard,methods  |  ESTIMAND: Bias reduction (percent),methods-paper,unpublished
64,hfpef_registry_synth,Registry-First Transparency-Adjusted Synthesis for HFpEF Clinical Trials,methods  |  ESTIMAND: Reporting debt proportion,methods-paper,unpublished
65,HTA,HTA Artifact Standard: An Open-Source Platform with 41 Analytical Engines for Health Technology Assessment,"methods  |  ESTIMAND: ICER, NMB, and pooled treatment effects",methods-paper,unpublished
66,HTA-oman,HTA-Oman: Open-Source Browser-Based Health Technology Assessment Economic Modeling,methods  |  ESTIMAND: Mean difference,methods-paper,unpublished
67,HTA_Evidence_Integrity_Suite,Evidence Integrity Suite for Multi-Layered Health Technology Assessment of Cochrane Reviews,methods  |  ESTIMAND: Information Adequacy Index,methods-paper,unpublished
68,HTA_Transportability_Engine,Clinical Transportability Engine for Quantifying Efficacy Leakage in Health Technology Assessment,methods  |  ESTIMAND: Transportability penalty,methods-paper,unpublished
69,HTA_Unified_Intelligence_System,HTA Unified Intelligence System: Self-Correcting Evidence Synthesis with Triple-Guard Ensemble Pooling,"methods  |  ESTIMAND: Unified Decision Score (UDS, 0-100)",methods-paper,unpublished
70,idea12,Network Meta-Regression with Forensic Bias Detection for Observational-RCT Discordance,methods  |  ESTIMAND: Discordance Index ROC AUC,methods-paper,unpublished
71,IndirectComparison,Indirect Treatment Comparison Calculator: Browser-Based Bucher Method with Coherence Testing,methods  |  ESTIMAND: Indirect log odds ratio (OR),methods-paper,unpublished
72,IPD-Meta-Pro,IPD Meta-Analysis Pro: A Browser-Based Platform for Individual Participant Data Evidence Synthesis,methods  |  ESTIMAND: Pooled IPD treatment effect,methods-paper,unpublished
73,IPD_QMA,IPD-QMA: Detecting Heterogeneous Treatment Effects via Quantile Meta-Analysis of Individual Participant Data,methods  |  ESTIMAND: Quantile treatment effect,methods-paper,unpublished
74,kanban-lab,Kanban Lab: A Persistent Browser-Based Drag-and-Drop Board for Research Task Management,methods  |  ESTIMAND: Median card transition time,methods-paper,unpublished
75,KMcurve,Fully Automated Kaplan-Meier Curve Extraction via Neural OCR and Mathematical Survival Constraints,methods  |  ESTIMAND: Sensitivity of automated curve extraction (95% CI),methods-paper,unpublished
76,KMDigitizer,KMDigitizer: Browser-Based IPD Reconstruction from Published Kaplan-Meier Curves,methods  |  ESTIMAND: Hazard ratio (HR),methods-paper,unpublished
77,LFA,CBAMM: Collaborative Bayesian Adaptive Meta-Analysis with Population Transportability and Sequential Monitoring,methods  |  ESTIMAND: Transported risk ratio (95% CI),methods-paper,unpublished
78,living-meta,Living Meta-Analysis: A CT.gov-Native Browser Application for Continuously Updated Evidence Synthesis,methods  |  ESTIMAND: Pooled treatment effect with sequential monitoring,methods-paper,unpublished
79,living-meta-engine,Living Meta-Analysis Engine: Config-Driven Browser Dashboard for Cardiology Evidence Synthesis,methods  |  ESTIMAND: Odds ratio,methods-paper,unpublished
80,llm-meta-analysis,LLM-Driven Meta-Analysis: Automated Extraction and Synthesis from Clinical Trials,methods  |  ESTIMAND: Pooled effect size,methods-paper,unpublished
81,mahmood726-cyber.github.io,Evidence Synthesis Portfolio Site: Living Validation Status Dashboard for 101 Projects,methods  |  ESTIMAND: Median tests per project,methods-paper,unpublished
82,MAPowerCalc,MA Power: A Browser-Based Power and Sample Size Calculator for Random-Effects Meta-Analysis,methods  |  ESTIMAND: Statistical power for planned meta-analysis,methods-paper,unpublished
83,MAPriors,MAPriors: Browser-Based Meta-Analytic Predictive Priors and Dynamic Borrowing Engine,methods  |  ESTIMAND: Effective sample size,methods-paper,unpublished
84,MAWorkbench,Meta-Analysis Workbench: A Central Hub for 49 Evidence Synthesis Tools,methods  |  ESTIMAND: Tool count and coverage,methods-paper,unpublished
85,maxent-reconstructor,MaxEnt IPD Reconstructor: Maximum Entropy Recovery of Individual Patient Data,methods  |  ESTIMAND: Win rate vs normal,methods-paper,unpublished
86,MCIDMapper,MCID Mapper: Clinical Significance Assessment for Meta-Analytic Effect Estimates,methods  |  ESTIMAND: MCID classification zone,methods-paper,unpublished
87,MES,Multiverse Evidence Synthesis: Robustness Classification of 403 Cochrane Meta-Analyses Across 648 Analytical Specifications,methods  |  ESTIMAND: Concordance score (C_sig) across specification multiverse,methods-paper,unpublished
88,meta-epidemiology-bias-correction,Bias-Correction Methods Reveal Underestimation by Observational Studies,meta-epidemiology  |  ESTIMAND: Ratio of ratios,meta-research-empirical,unpublished
89,Meta_Ecosystem_Model,"The Meta-Analysis Ecosystem Model: Evidence Velocity, Effect Decay, and a Future-Proof Index Across 501 Cochrane Reviews",methods  |  ESTIMAND: Decay ratio,methods-paper,unpublished
90,MetaAudit,MetaAudit: Reproducibility Capsule for Automated Meta-Analytic Quality Audits,methods  |  ESTIMAND: documentation proportion,methods-paper,unpublished
92,MetaExtract,MetaExtract: Browser-Based Effect Estimate Extraction from Clinical Trial Abstracts via Deterministic Pattern Matching,"methods  |  ESTIMAND: Extraction sensitivity for HR, OR, RR (95% CI)",methods-paper,unpublished
93,MetaFolio,MetaFolio: Efficiency Frontier Subset Enumeration for Meta-Analysis Heterogeneity Decomposition,methods  |  ESTIMAND: I-squared reduction from dominated study exclusion,methods-paper,unpublished
94,MetaFusion-Lab,MetaFusion Lab: Certainty-Weighted Random-Effects Meta-Analysis,"methods  |  ESTIMAND: Risk ratio (certainty-weighted, 95% CI)",methods-paper,unpublished
95,MetaGenome,The Meta-Analysis Genome: Unsupervised Phenotyping of 307 Cochrane Reviews,empirical  |  ESTIMAND: Cluster archetype (4 types),meta-research-empirical,unpublished
