idx,name,title,cluster_id,cluster_title
1,501MLM,MLM501: Cochrane Multilevel Meta-Analysis Effects Table from 501 Reviews,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
2,501MLM_Submission,MLM501 Software Article: Building Large-Scale Meta-Analytic Datasets from Cochrane Reviews,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
3,AdaptSim,AdaptSim: A Browser-Based Simulator for Adaptive Group-Sequential Trial Design Matching rpact to Four Decimal Places,C17,"Sequential Evidence, TSA & Adaptive Design"
4,advanced-nma-pooling,Advanced NMA Pooling Toolkit with Bias Adjustment and Survival Extensions,C05,Network Meta-Analysis Statistical Methods
5,AfricaRCT,AfricaRCT Observatory: Causal Transportability Index for African HTA Sovereignty,C21,"Transportability, Equity & External Validity"
6,AlMizan,Al-Mizan: An Evidence Equipoise Monitor for Detecting When the Balance of Evidence Has Tipped,C17,"Sequential Evidence, TSA & Adaptive Design"
7,Asa,Asa: A Seven-Method Forensic Data Integrity Screener for Clinical Trial Datasets,C16,"Reproducibility, Forensics & Data Integrity"
9,AutoGRADE,AutoGRADE: Browser-Based Automated GRADE Certainty Assessment,C23,"GRADE, PRISMA & Systematic Review Reporting"
10,BayesianMA,BayesianMA: Browser-Based Bayesian Random-Effects Meta-Analysis with Prior Sensitivity Analysis,C08,Bayesian & Shrinkage Meta-Analysis
12,BiasForensics,The Bias Fingerprint: Eight Methods Disagree in One of Seven Cochrane Meta-Analyses,C09,"Publication Bias, Correction & Fragility"
13,Burhan,TruthCert: A Fail-Closed Certification Protocol for LLM Outputs in Evidence Synthesis,C16,"Reproducibility, Forensics & Data Integrity"
14,CardioOracle,CardioOracle: Predicting Cardiovascular Trial Outcomes Using Bayesian Historical Borrowing and Design Feature Analysis (AUC 0.787),C26,"Research Automation, AI Tools & Infrastructure"
15,CardioTrialAudit,"Structural Flaw Prevalence in 52,765 Cardiology Trials: An Automated Registry Audit",C24,Clinical Trial Registry Audit & Surveillance
17,CausalSynth,CausalSynth: Browser-Based Causal Evidence Triangulation Engine,C21,"Transportability, Equity & External Validity"
18,chat2,CBAMM-Chat2: Automated Meta-Overfitting Detection via Cross-Validated Diagnostics,C14,"Meta-Regression, Overfitting & Precision Methods"
19,chatpaper,MA4 vs HKSJ: Complementarity of Analytic Stability and Small-Sample Robustness Metrics,C14,"Meta-Regression, Overfitting & Precision Methods"
20,claude2,Weighted vs Unweighted CV in Meta-Regression: Reproducibility Capsule,C14,"Meta-Regression, Overfitting & Precision Methods"
21,clauderepo,clauderepo: Reproducibility Capsule for an Advanced Meta-Analysis Compendium,C15,Multiverse & Specification-Robustness Analysis
25,ComponentNMA,Component NMA: A Browser-Based Tool for Additive Component Network Meta-Analysis,C05,Network Meta-Analysis Statistical Methods
26,ConformalMA,Conformal Prediction Intervals for Meta-Analysis: Distribution-Free Coverage Across 307 Cochrane Reviews,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
27,CRES,CRES: Browser-Based Cardiorenal Evidence Synthesis with Integrated Meta-Analysis and Health-Economic Modelling,C20,"HTA, Clinical Significance & Evidence Translation"
38,ctgov-rule-era-reporting-gap,CT.gov Rule-Era Reporting Gap,C04,"CT.gov Registry Structure, Design & Black-Box"
39,ctgov-search-strategies,CT.gov Search Strategy Tool: Systematic Review Search Validation with 99 Percent API Recall,C04,"CT.gov Registry Structure, Design & Black-Box"
43,cv-rct-analysis,CV-RCT Analysis: Cardiovascular Trial Landscape Dashboard Integrating Registry and Publication Data,C24,Clinical Trial Registry Audit & Surveillance
44,Dataextractor,RCTExtractor: AI-Powered Clinical Trial Data Extraction with 100% Accuracy,C26,"Research Automation, AI Tools & Infrastructure"
45,dosehtml,Dose Response Pro: Browser-Based Dose-Response Meta-Analysis Matching R Accuracy,C31,Specialized Browser Tools & Research Productivity
46,DPMA,Dirichlet Process Meta-Analysis,C08,Bayesian & Shrinkage Meta-Analysis
47,DTA70,DTA70: An R Package of 76 Diagnostic Test Accuracy Datasets for Methods Research,C06,Diagnostic Test Accuracy Evidence Synthesis
48,DTA_Pro_Review,DTA Meta-Analysis Pro: A Browser-Based Tool for Diagnostic Test Accuracy Evidence Synthesis,C06,Diagnostic Test Accuracy Evidence Synthesis
