num,name,code,protocol,dashboard,dashboard_status,code_status,protocol_status,tag
1,501MLM,https://github.com/mahmood726-cyber/501MLM,https://github.com/mahmood726-cyber/501MLM/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/501MLM/,404,404,200,repo_404
2,501MLM_Submission,https://github.com/mahmood726-cyber/501MLM_Submission,https://github.com/mahmood726-cyber/501MLM_Submission/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/501MLM_Submission/,404,404,200,repo_404
3,AdaptSim,https://github.com/mahmood726-cyber/AdaptSim,https://github.com/mahmood726-cyber/AdaptSim/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/AdaptSim/,404,206,200,repo_ok_pages_missing
4,advanced-nma-pooling,https://github.com/mahmood726-cyber/advanced-nma-pooling,https://github.com/mahmood726-cyber/advanced-nma-pooling/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/advanced-nma-pooling/,206,206,200,ok
5,AfricaRCT,https://github.com/mahmood726-cyber/AfricaRCT,https://github.com/mahmood726-cyber/AfricaRCT/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/AfricaRCT/,404,206,200,repo_ok_pages_missing
6,AlMizan,https://github.com/mahmood726-cyber/al-mizan,https://github.com/mahmood726-cyber/al-mizan/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/al-mizan/,206,206,200,ok
7,Asa,https://github.com/mahmood726-cyber/Asa,https://github.com/mahmood726-cyber/Asa/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/Asa/,404,206,200,repo_ok_pages_missing
9,AutoGRADE,https://github.com/mahmood726-cyber/AutoGRADE,https://github.com/mahmood726-cyber/AutoGRADE/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/AutoGRADE/,404,206,200,repo_ok_pages_missing
10,BayesianMA,https://github.com/mahmood726-cyber/BayesianMA,https://github.com/mahmood726-cyber/BayesianMA/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/BayesianMA/,404,206,200,repo_ok_pages_missing
11,BenfordMA,https://github.com/mahmood726-cyber/BenfordMA,https://github.com/mahmood726-cyber/BenfordMA/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/BenfordMA/,404,206,200,repo_ok_pages_missing
12,BiasForensics,https://github.com/mahmood726-cyber/BiasForensics,https://github.com/mahmood726-cyber/BiasForensics/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/BiasForensics/,404,404,200,repo_404
13,Burhan,https://github.com/mahmood726-cyber/Burhan,https://github.com/mahmood726-cyber/Burhan/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/Burhan/,206,206,200,ok
14,CardioOracle,https://github.com/mahmood726-cyber/CardioOracle,https://github.com/mahmood726-cyber/CardioOracle/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/CardioOracle/,404,206,200,repo_ok_pages_missing
15,CardioTrialAudit,https://github.com/mahmood726-cyber/CardioTrialAudit,https://github.com/mahmood726-cyber/CardioTrialAudit/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/CardioTrialAudit/,404,206,200,repo_ok_pages_missing
17,CausalSynth,https://github.com/mahmood726-cyber/CausalSynth,https://github.com/mahmood726-cyber/CausalSynth/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/CausalSynth/,206,206,200,ok
18,chat2,https://github.com/mahmood726-cyber/chat2,https://github.com/mahmood726-cyber/chat2/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/chat2/,404,404,200,repo_404
19,chatpaper,https://github.com/mahmood726-cyber/chatpaper,https://github.com/mahmood726-cyber/chatpaper/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/chatpaper/,404,404,200,repo_404
20,claude2,https://github.com/mahmood726-cyber/claude2,https://github.com/mahmood726-cyber/claude2/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/claude2/,404,404,200,repo_404
21,clauderepo,https://github.com/mahmood726-cyber/clauderepo,https://github.com/mahmood726-cyber/clauderepo/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/clauderepo/,206,206,200,ok
22,clinic-site,https://github.com/mahmood726-cyber/clinic-site,https://github.com/mahmood726-cyber/clinic-site/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/clinic-site/,404,206,200,repo_ok_pages_missing
23,clinical-ma,https://github.com/mahmood726-cyber/clinical-ma,https://github.com/mahmood726-cyber/clinical-ma/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/clinical-ma/,404,404,200,repo_404
24,CochraneDataExtractor,https://github.com/mahmood726-cyber/cochrane-data-extractor,https://github.com/mahmood726-cyber/cochrane-data-extractor/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/cochrane-data-extractor/,206,206,200,ok
25,ComponentNMA,https://github.com/mahmood726-cyber/component-nma,https://github.com/mahmood726-cyber/component-nma/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/component-nma/,206,206,200,ok
26,ConformalMA,https://github.com/mahmood726-cyber/conformal-ma,https://github.com/mahmood726-cyber/conformal-ma/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/conformal-ma/,206,206,200,ok
27,CRES,https://github.com/mahmood726-cyber/CRES,https://github.com/mahmood726-cyber/CRES/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/CRES/,404,206,200,repo_ok_pages_missing
28,ctgov-cardiovascular-hiddenness,https://github.com/mahmood726-cyber/ctgov-cardiovascular-hiddenness,https://github.com/mahmood726-cyber/ctgov-cardiovascular-hiddenness/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/ctgov-cardiovascular-hiddenness/,206,206,200,ok
29,ctgov-completion-cohort-debt,https://github.com/mahmood726-cyber/ctgov-completion-cohort-debt,https://github.com/mahmood726-cyber/ctgov-completion-cohort-debt/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/ctgov-completion-cohort-debt/,206,206,200,ok
30,ctgov-condition-hiddenness-map,https://github.com/mahmood726-cyber/ctgov-condition-hiddenness-map,https://github.com/mahmood726-cyber/ctgov-condition-hiddenness-map/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/ctgov-condition-hiddenness-map/,206,206,200,ok
31,ctgov-evidence-visibility-gap,https://github.com/mahmood726-cyber/ctgov-evidence-visibility-gap,https://github.com/mahmood726-cyber/ctgov-evidence-visibility-gap/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/ctgov-evidence-visibility-gap/,206,206,200,ok
32,ctgov-hiddenness-atlas,https://github.com/mahmood726-cyber/ctgov-hiddenness-atlas,https://github.com/mahmood726-cyber/ctgov-hiddenness-atlas/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/ctgov-hiddenness-atlas/,206,206,200,ok
33,ctgov-industry-disclosure-gap,https://github.com/mahmood726-cyber/ctgov-industry-disclosure-gap,https://github.com/mahmood726-cyber/ctgov-industry-disclosure-gap/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/ctgov-industry-disclosure-gap/,206,206,200,ok
34,ctgov-metabolic-hiddenness,https://github.com/mahmood726-cyber/ctgov-metabolic-hiddenness,https://github.com/mahmood726-cyber/ctgov-metabolic-hiddenness/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/ctgov-metabolic-hiddenness/,206,206,200,ok
35,ctgov-oncology-hiddenness,https://github.com/mahmood726-cyber/ctgov-oncology-hiddenness,https://github.com/mahmood726-cyber/ctgov-oncology-hiddenness/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/ctgov-oncology-hiddenness/,206,206,200,ok
36,ctgov-phase-reporting-gap,https://github.com/mahmood726-cyber/ctgov-phase-reporting-gap,https://github.com/mahmood726-cyber/ctgov-phase-reporting-gap/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/ctgov-phase-reporting-gap/,206,206,200,ok
37,ctgov-publication-undercount-audit,https://github.com/mahmood726-cyber/ctgov-publication-undercount-audit,https://github.com/mahmood726-cyber/ctgov-publication-undercount-audit/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/ctgov-publication-undercount-audit/,206,206,200,ok
38,ctgov-rule-era-reporting-gap,https://github.com/mahmood726-cyber/ctgov-rule-era-reporting-gap,https://github.com/mahmood726-cyber/ctgov-rule-era-reporting-gap/blob/main/E156-PROTOCOL.md,https://mahmood726-cyber.github.io/ctgov-rule-era-reporting-gap/,206,206,200,ok
